# U  arc  E1  E2  E3  E4
0.0000  2.956793  -1.18453672  -1.18453672  1.18453672  1.18453672
0.0000  2.991993  -1.14946019  -1.14946019  1.14946019  1.14946019
0.0000  3.027193  -1.11433736  -1.11433736  1.11433736  1.11433736
0.0000  3.062393  -1.07917912  -1.07917912  1.07917912  1.07917912
0.0000  3.097593  -1.04399635  -1.04399635  1.04399635  1.04399635
0.0000  3.132793  -1.00879995  -1.00879995  1.00879995  1.00879995
0.0000  3.167993  -0.97360083  -0.97360083  0.97360083  0.97360083
0.0000  3.203193  -0.93840988  -0.93840988  0.93840988  0.93840988
0.0000  3.238392  -0.90323801  -0.90323801  0.90323801  0.90323801
0.0000  3.273592  -0.86809612  -0.86809612  0.86809612  0.86809612
0.0000  3.308792  -0.83299508  -0.83299508  0.83299508  0.83299508
0.0000  3.343992  -0.79794577  -0.79794577  0.79794577  0.79794577
0.0000  3.379192  -0.76295905  -0.76295905  0.76295905  0.76295905
0.0000  3.414392  -0.72804575  -0.72804575  0.72804575  0.72804575
0.0000  3.449592  -0.69321669  -0.69321669  0.69321669  0.69321669
0.0000  3.484792  -0.65848266  -0.65848266  0.65848266  0.65848266
0.0000  3.519992  -0.62385441  -0.62385441  0.62385441  0.62385441
0.0000  3.555192  -0.58934267  -0.58934267  0.58934267  0.58934267
0.0000  3.590392  -0.55495813  -0.55495813  0.55495813  0.55495813
0.0000  3.625592  -0.52071145  -0.52071145  0.52071145  0.52071145
0.0000  3.660791  -0.48661322  -0.48661322  0.48661322  0.48661322
0.0000  3.695991  -0.45267402  -0.45267402  0.45267402  0.45267402
0.0000  3.731191  -0.41890435  -0.41890435  0.41890435  0.41890435
0.0000  3.766391  -0.38531468  -0.38531468  0.38531468  0.38531468
0.0000  3.801591  -0.35191540  -0.35191540  0.35191540  0.35191540
0.0000  3.836791  -0.31871687  -0.31871687  0.31871687  0.31871687
0.0000  3.871991  -0.28572937  -0.28572937  0.28572937  0.28572937
0.0000  3.907191  -0.25296311  -0.25296311  0.25296311  0.25296311
0.0000  3.942391  -0.22042825  -0.22042825  0.22042825  0.22042825
0.0000  3.977591  -0.18813486  -0.18813486  0.18813486  0.18813486
0.0000  4.012791  -0.15609295  -0.15609295  0.15609295  0.15609295
0.0000  4.047991  -0.12431244  -0.12431244  0.12431244  0.12431244
0.0000  4.083190  -0.09280317  -0.09280317  0.09280317  0.09280317
0.0000  4.118390  -0.06157491  -0.06157491  0.06157491  0.06157491
0.0000  4.153590  -0.03063732  -0.03063732  0.03063732  0.03063732
0.0000  4.188790  -0.00000000  -0.00000000  0.00000000  0.00000000
0.0000  4.206390  -0.01520309  -0.01520309  0.01520309  0.01520309
0.0000  4.223990  -0.03032756  -0.03032756  0.03032756  0.03032756
0.0000  4.241590  -0.04537225  -0.04537225  0.04537225  0.04537225
0.0000  4.259190  -0.06033598  -0.06033598  0.06033598  0.06033598
0.0000  4.276790  -0.07521760  -0.07521760  0.07521760  0.07521760
0.0000  4.294390  -0.09001596  -0.09001596  0.09001596  0.09001596
0.0000  4.311990  -0.10472991  -0.10472991  0.10472991  0.10472991
0.0000  4.329590  -0.11935831  -0.11935831  0.11935831  0.11935831
0.0000  4.347190  -0.13390003  -0.13390003  0.13390003  0.13390003
0.0000  4.364790  -0.14835393  -0.14835393  0.14835393  0.14835393
0.0000  4.382390  -0.16271891  -0.16271891  0.16271891  0.16271891
0.0000  4.399990  -0.17699386  -0.17699386  0.17699386  0.17699386
0.0000  4.417590  -0.19117765  -0.19117765  0.19117765  0.19117765
0.0000  4.435190  -0.20526920  -0.20526920  0.20526920  0.20526920
0.0000  4.452790  -0.21926742  -0.21926742  0.21926742  0.21926742
0.0000  4.470390  -0.23317122  -0.23317122  0.23317122  0.23317122
0.0000  4.487990  -0.24697952  -0.24697952  0.24697952  0.24697952
0.0000  4.505589  -0.26069126  -0.26069126  0.26069126  0.26069126
0.0000  4.523189  -0.27430537  -0.27430537  0.27430537  0.27430537
0.0000  4.540789  -0.28782080  -0.28782080  0.28782080  0.28782080
0.0000  4.558389  -0.30123650  -0.30123650  0.30123650  0.30123650
0.0000  4.575989  -0.31455144  -0.31455144  0.31455144  0.31455144
0.0000  4.593589  -0.32776458  -0.32776458  0.32776458  0.32776458
0.0000  4.611189  -0.34087489  -0.34087489  0.34087489  0.34087489
0.0000  4.628789  -0.35388137  -0.35388137  0.35388137  0.35388137
0.0000  4.646389  -0.36678301  -0.36678301  0.36678301  0.36678301
0.0000  4.663989  -0.37957881  -0.37957881  0.37957881  0.37957881
0.0000  4.681589  -0.39226777  -0.39226777  0.39226777  0.39226777
0.0000  4.699189  -0.40484891  -0.40484891  0.40484891  0.40484891
0.0000  4.716789  -0.41732127  -0.41732127  0.41732127  0.41732127
0.0000  4.734389  -0.42968387  -0.42968387  0.42968387  0.42968387
0.0000  4.751989  -0.44193576  -0.44193576  0.44193576  0.44193576
0.0000  4.769589  -0.45407598  -0.45407598  0.45407598  0.45407598
0.0000  4.787189  -0.46610360  -0.46610360  0.46610360  0.46610360
0.0000  4.804789  -0.47801769  -0.47801769  0.47801769  0.47801769
0.0000  4.822389  -0.48981732  -0.48981732  0.48981732  0.48981732
0.0000  4.839989  -0.50150158  -0.50150158  0.50150158  0.50150158
0.0000  4.857589  -0.51306957  -0.51306957  0.51306957  0.51306957
0.0000  4.875189  -0.52452039  -0.52452039  0.52452039  0.52452039
0.0000  4.892789  -0.53585314  -0.53585314  0.53585314  0.53585314
0.0000  4.910389  -0.54706697  -0.54706697  0.54706697  0.54706697
0.0000  4.927988  -0.55816099  -0.55816099  0.55816099  0.55816099
0.0000  4.945588  -0.56913434  -0.56913434  0.56913434  0.56913434
0.0000  4.963188  -0.57998619  -0.57998619  0.57998619  0.57998619
0.0000  4.980788  -0.59071568  -0.59071568  0.59071568  0.59071568
0.0000  4.998388  -0.60132199  -0.60132199  0.60132199  0.60132199
0.0000  5.015988  -0.61180429  -0.61180429  0.61180429  0.61180429
0.0000  5.033588  -0.62216178  -0.62216178  0.62216178  0.62216178
0.0000  5.051188  -0.63239365  -0.63239365  0.63239365  0.63239365
0.0000  5.068788  -0.64249911  -0.64249911  0.64249911  0.64249911
0.0000  5.086388  -0.65247737  -0.65247737  0.65247737  0.65247737
0.0000  5.103988  -0.66232767  -0.66232767  0.66232767  0.66232767
0.0000  5.121588  -0.67204924  -0.67204924  0.67204924  0.67204924
0.0000  5.139188  -0.68164132  -0.68164132  0.68164132  0.68164132
0.0000  5.156788  -0.69110319  -0.69110319  0.69110319  0.69110319
0.0000  5.174388  -0.70043409  -0.70043409  0.70043409  0.70043409
0.0000  5.191988  -0.70963331  -0.70963331  0.70963331  0.70963331
0.0000  5.209588  -0.71870015  -0.71870015  0.71870015  0.71870015
0.0000  5.227188  -0.72763388  -0.72763388  0.72763388  0.72763388
0.0000  5.244788  -0.73643383  -0.73643383  0.73643383  0.73643383
0.0000  5.262388  -0.74509932  -0.74509932  0.74509932  0.74509932
0.0000  5.279988  -0.75362966  -0.75362966  0.75362966  0.75362966
0.0000  5.297588  -0.76202421  -0.76202421  0.76202421  0.76202421
0.0000  5.315188  -0.77028230  -0.77028230  0.77028230  0.77028230
0.0000  5.332788  -0.77840331  -0.77840331  0.77840331  0.77840331
0.0000  5.350387  -0.78638659  -0.78638659  0.78638659  0.78638659
0.0000  5.367987  -0.79423155  -0.79423155  0.79423155  0.79423155
0.0000  5.385587  -0.80193755  -0.80193755  0.80193755  0.80193755
0.0000  5.403187  -0.80950402  -0.80950402  0.80950402  0.80950402
0.0000  5.420787  -0.81693036  -0.81693036  0.81693036  0.81693036
0.0000  5.438387  -0.82421600  -0.82421600  0.82421600  0.82421600
0.0000  5.455987  -0.83136038  -0.83136038  0.83136038  0.83136038
0.0000  5.473587  -0.83836293  -0.83836293  0.83836293  0.83836293
